,0
259,True
260,True
261,True
262,False
263,False
264,False
265,True
266,False
267,True
268,True
269,False
270,True
271,True
272,True
273,True
274,True
275,True
276,False
277,True
278,False
279,False
280,False
281,False
282,True
283,False
284,False
285,True
286,True
287,True
288,True
289,False
290,False
291,True
292,True
293,True
294,True
295,True
296,False
297,False
298,False
299,True
300,True
301,True
302,False
303,True
304,True
305,True
306,True
307,True
308,False
309,False
310,True
311,True
312,True
313,False
314,False
315,True
316,True
317,False
318,True
319,False
320,True
321,True
322,True
323,False
324,False
325,False
326,True
327,False
328,True
329,True
330,False
331,True
332,True
333,True
334,False
335,True
336,True
337,True
338,False
339,True
340,False
341,True
342,False
343,True
344,False
345,False
346,True
347,True
348,True
349,True
350,False
351,True
352,True
353,False
354,False
355,False
356,True
357,True
358,False
359,True
360,False
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,True
369,False
370,False
371,False
372,False
373,True
374,False
375,True
376,True
377,True
378,False
379,False
380,True
381,False
382,False
383,False
384,False
385,True
386,True
387,True
388,True
389,True
390,False
391,True
392,True
393,True
394,False
395,True
396,False
397,True
398,True
399,False
400,False
401,False
402,False
403,False
404,False
405,True
406,True
407,False
408,True
409,False
410,True
411,False
412,False
413,True
414,True
415,False
416,True
417,True
418,True
419,False
420,True
421,False
422,True
423,False
424,False
425,False
426,True
427,True
428,False
429,False
430,False
431,True
432,True
433,True
434,False
435,True
436,True
437,True
438,False
439,False
440,True
441,True
442,False
443,True
444,True
445,True
446,False
447,False
448,True
449,False
450,False
451,False
452,False
453,True
454,True
455,True
456,True
457,False
458,False
459,True
460,True
461,False
462,True
463,True
464,True
465,True
466,True
467,False
468,True
469,True
470,False
471,True
472,True
473,False
474,False
475,True
476,False
477,False
478,False
479,True
480,False
481,True
482,True
483,True
484,True
485,False
486,True
487,False
488,False
489,True
490,False
491,True
492,False
493,False
494,True
495,True
496,True
497,True
498,False
499,False
500,True
501,False
502,True
503,False
504,True
505,True
506,True
507,False
508,False
509,False
510,True
511,True
512,True
513,False
514,True
515,True
516,True
517,True
518,True
519,False
520,True
521,False
522,True
523,True
524,True
525,True
526,False
527,True
528,False
529,False
530,True
531,False
532,True
533,True
534,True
535,False
536,False
537,False
538,True
539,True
540,False
541,True
542,True
543,True
544,False
545,True
546,True
547,True
548,True
549,False
550,True
551,True
552,False
553,True
554,True
555,True
556,False
557,True
558,False
559,True
560,True
561,True
562,True
563,True
564,False
565,False
566,False
567,True
568,True
569,True
570,True
571,True
572,True
573,False
574,True
575,False
576,True
577,False
578,False
579,False
580,True
581,True
582,False
583,False
584,False
585,True
586,True
587,True
588,True
589,False
590,True
591,False
592,False
593,False
594,False
595,True
596,True
597,True
598,True
599,True
600,True
601,True
602,False
603,False
604,True
605,False
606,False
607,False
608,False
609,False
610,True
611,False
612,True
613,False
614,True
615,False
616,False
617,True
618,False
619,True
620,False
621,True
622,True
623,True
624,False
625,True
626,True
627,True
628,False
629,False
630,True
631,False
632,True
633,False
634,True
635,False
636,True
637,False
638,False
639,True
640,True
641,True
642,True
643,False
644,False
645,True
646,True
647,True
648,False
649,True
650,True
651,True
652,True
653,False
654,True
655,True
656,False
657,False
658,False
659,False
660,True
661,False
662,False
663,True
664,True
665,False
666,True
667,True
668,False
669,True
670,True
671,False
672,True
673,True
674,False
675,False
676,False
677,True
678,True
679,False
680,False
681,True
682,True
683,True
684,False
685,False
686,False
687,False
688,True
689,False
690,True
691,True
692,False
693,True
694,False
695,True
696,True
697,False
698,False
699,False
700,True
701,False
702,True
703,False
704,False
705,False
706,False
707,True
708,True
709,False
710,False
711,False
712,True
713,False
714,False
715,False
716,True
717,True
718,True
719,True
720,True
721,False
722,False
723,False
724,False
725,True
726,True
727,True
728,True
729,True
730,True
731,True
732,True
733,False
734,False
735,True
736,False
737,False
738,True
739,True
740,False
741,False
742,True
743,True
744,True
745,True
746,True
747,False
748,False
749,False
750,False
751,False
752,True
753,True
754,True
755,True
756,True
757,False
758,False
759,False
760,False
761,True
762,False
763,False
764,False
765,True
766,True
767,False
768,True
769,True
770,True
771,True
772,True
773,False
774,False
775,False
776,False
777,True
778,False
779,False
780,True
781,False
782,False
783,True
784,False
785,True
786,False
787,True
788,True
789,False
790,True
791,True
792,False
793,False
794,True
795,True
796,True
797,True
798,True
799,False
800,True
801,True
802,False
803,False
804,True
805,False
806,False
807,True
808,True
809,False
810,False
811,True
812,True
813,True
814,False
815,True
816,True
817,False
818,True
819,False
820,True
821,False
822,False
823,True
824,True
825,True
826,False
827,True
828,False
829,True
830,True
831,True
832,False
833,False
834,True
835,True
836,True
837,True
838,True
839,False
840,True
841,True
842,False
843,False
844,True
845,False
846,False
847,True
848,False
849,True
850,False
851,True
852,True
853,True
854,True
855,True
856,False
857,True
858,True
859,True
860,True
861,True
862,False
863,True
864,True
865,False
866,False
867,True
868,False
869,True
870,True
871,True
872,True
873,True
874,True
875,True
876,False
877,False
878,False
879,True
880,True
881,False
882,True
883,False
884,False
885,True
886,True
887,True
888,True
889,False
890,True
891,False
892,True
893,False
894,True
895,True
896,False
897,True
898,False
899,True
900,True
901,True
902,False
903,True
904,False
905,True
906,False
907,True
908,True
909,False
910,True
911,True
912,True
913,True
914,False
915,False
916,False
917,True
918,False
919,False
920,False
921,True
922,True
923,False
924,True
925,False
926,False
927,False
928,False
929,True
930,True
931,False
932,True
933,True
934,True
935,True
936,True
937,True
938,True
939,False
940,False
941,False
942,False
943,True
944,False
945,True
946,False
947,False
948,False
949,False
950,False
951,True
952,True
953,False
954,True
955,False
956,False
957,True
958,False
959,True
960,False
961,False
962,False
963,True
964,True
965,True
966,False
967,True
968,True
969,True
970,False
971,True
972,True
973,False
974,False
975,False
976,True
977,False
978,False
979,True
980,True
981,True
982,True
983,False
984,True
985,False
986,False
987,False
988,False
989,True
990,True
991,True
992,True
993,False
994,False
995,True
996,False
997,False
998,True
999,True
1000,True
1001,False
1002,True
1003,True
1004,False
1005,True
1006,True
1007,False
1008,False
1009,True
1010,True
1011,False
1012,False
1013,False
1014,True
1015,False
1016,True
1017,False
1018,True
1019,False
1020,True
1021,False
1022,False
1023,False
1024,False
1025,True
1026,False
1027,True
1028,False
1029,False
1030,False
1031,True
1032,False
1033,True
1034,True
1035,False
1036,False
1037,True
1038,True
1039,True
1040,True
1041,True
1042,True
1043,True
1044,False
1045,False
1046,True
1047,True
1048,True
1049,False
1050,False
1051,True
1052,True
1053,False
1054,True
1055,True
1056,True
1057,False
1058,True
1059,True
1060,False
1061,False
1062,True
1063,True
1064,False
1065,False
1066,True
1067,False
1068,False
1069,False
1070,False
1071,False
1072,True
1073,True
1074,True
1075,True
1076,False
1077,True
1078,True
1079,True
1080,False
1081,False
1082,False
1083,True
1084,True
1085,True
1086,True
1087,False
1088,True
1089,True
1090,True
1091,False
1092,True
1093,False
1094,True
1095,False
1096,False
1097,False
1098,True
1099,False
1100,False
1101,True
1102,True
1103,True
1104,False
1105,False
1106,False
1107,True
1108,True
1109,False
1110,False
1111,False
1112,True
1113,False
1114,True
1115,False
1116,False
1117,False
1118,True
1119,True
1120,True
1121,True
1122,True
1123,True
1124,True
